,A,C,D,E,F,G,H,I,J,K,L,M,N,O,0
0,7364199.0,,0.7709257996076953,0.8054931690119074,0.10253515646074651,0.9583514319032717,0.007,0.9590182473351198,0.08660828097890472,0.8739271849463588,0.5637625465596086,0.3439563044137197,0.15910344350100214,0.007974060190699017,595959.0
1,0.8463881776238432,,0.4750134378418531,0.9739212340986587,0.6256197072141916,0.6042896239214312,0.007,0.46223196763840413,0.9846090103371399,0.8590878495241798,0.4606596759143108,0.44485535883083394,0.5389610034343417,0.56335463603869,
2,0.30382435500974225,,0.7398691085820127,0.24943939605615073,0.2838024979634416,0.6530211743250904,0.007,0.5516739652759436,0.42046177023716935,0.6059420425852927,0.7061736195001299,0.9869508882071801,0.08168538755949106,0.5213399756911321,
3,0.4920616035121992,,0.9867078055235655,0.09918146380128412,0.7076776715919139,0.5768348512855996,0.007,0.45923076740910596,0.36706059740670316,0.05918076732626021,0.3872785791821166,0.89989006709312,0.23946999810169178,0.4859599321246776,
4,0.3324436963594566,,0.03329554724245509,0.4870723138218924,0.6229341624130965,0.44617114346360387,0.007,0.43330857748215235,0.06395570176496312,0.46968418764522946,0.8718714574084936,0.9249393706888378,0.26532901385747043,0.3700095852238485,
5,0.668160312363838,,0.6699992458549774,0.311349061543722,0.12841237178229303,0.3764055416880506,0.007,0.8702259931506202,0.6188805629341377,0.6564947910356315,0.3363220446412861,0.9011871590952901,0.5039263708715809,0.9879064090545465,
6,0.895028107005773,,0.10657822486623192,0.669448078192837,0.5321122107615897,0.20471638975769424,0.007,0.2904485183993507,0.22926786765082485,0.011409537302148887,0.045594652517051526,0.18236548206167114,0.4819845806214229,0.6434970798379603,
7,0.7835969205928244,,0.8239560970817896,0.5087205399583492,0.12149562187667007,0.7682662453153021,0.007,0.7303971585876919,0.2598838226650436,0.2442257209460882,0.22285585836850752,0.6055526294337064,0.1565162534401242,0.284182498132884,
8,0.16959789376521395,,0.8897911403825524,0.42208486472906026,0.30050973392678226,0.008292104008031709,0.007,0.9058312690994915,0.6140181485167842,0.08302649347818669,0.19746942666045209,0.5636229934844244,0.8402012664851967,0.19156383410626976,
9,0.6985244511613242,,0.168587005061971,0.8625217935423681,0.5920925317556954,0.7078968920474776,0.007,0.578475031113243,0.2983369379993237,0.9395986953264717,0.32241247577556564,0.46591771458788445,0.8607759654312178,0.39318498247817923,
10,0.809969463692253,,0.3772111043363434,0.5757652300328481,0.023648177021834638,0.8528365691171166,0.007,0.8906099880608219,0.24799372207829462,0.01606981599676416,0.9296127718445224,0.7915677618262756,0.13970026543561165,0.7010331156674362,
11,0.6265299830982266,,0.12169707598303148,0.4774138129276292,0.7633472663907139,0.20887299614992338,0.007,0.9947278894368843,0.12622969439932696,0.021344399702483585,0.28303540910576586,0.16734688656718477,0.2790620761627156,0.5804027071111875,
12,0.5026161701458794,,0.8067979941063557,0.39444539496502184,0.9099268011416655,0.06197459663106164,0.007,0.8079707627673276,0.45032005398857866,0.2795637584042159,0.6285613295613472,0.6800764201315659,0.9798210708317947,0.4413069554511695,
13,0.6977818083636018,,0.19368066316101862,0.3918772133489242,0.6836075565256724,0.7975858236862382,0.007,0.7597365832929536,0.9501074138996871,0.14623601177809242,0.47323480250019423,0.5934524376147251,0.33613929811676924,0.4998712017139195,
14,0.39988457946383404,,0.48794549492240313,0.4605252691469722,0.6135361423338946,0.40891223055758097,0.007,0.3181250329103672,0.7855526467465236,0.4757290954816713,0.3150954476406538,0.9663805757231272,0.2807116729648057,0.6728704507116938,
15,0.32347801105368423,,0.8976180268463309,0.9836710315279986,0.4434671936257514,0.2649025776370738,0.007,0.9815836517873142,0.44844230867786483,0.18460356482359086,0.6858384913234485,0.36879353785399904,0.9709680365075047,0.46673346640617197,
16,0.2726409459083676,,0.615054314625606,0.8215316013177455,0.6349581059681398,0.6949927464048907,0.007,0.9155517571500558,0.6336704929103186,0.33231503983247646,0.965814755751919,0.9777865359406103,0.12715214748045345,0.8854591480900683,
17,0.397228877634626,,0.6387389550435458,0.29329196787175893,0.37248741071265556,0.26440855123347917,0.007,0.898126475528458,0.3884349785179675,0.6673327112406612,0.3979955331428001,0.25615477540894527,0.7310226567238965,0.9918186685010394,
18,0.3668656388002862,,0.372836362731502,0.6563136429927792,0.6879870830946757,0.748583578835048,0.007,0.8881577165653968,0.8416019896780935,0.3502314295160931,0.8547859473857642,0.7579765781212536,0.5778949272280604,0.8104766386876625,
19,0.4640901140404209,,0.005413268905988922,0.8757023834384117,0.7074355952160993,0.6794653248668963,0.007,0.3482848040540246,0.9106097948434553,0.01443032898382024,0.07664375522669764,0.5898017963300161,0.43383517114620207,0.915029699361306,
20,0.280482880497989,,0.0025277802407817074,0.367219906902582,0.3038228331200349,0.41515451691416394,0.007,0.47459164110725416,0.483536637174651,0.720083591313422,0.21415217789804497,0.9186142093580374,0.0029326181363011905,0.6568012901309138,
21,0.4565267742665142,,0.8517306572446393,0.5221982438205797,0.5177533164975922,0.7343400279808026,0.007,0.9662416309711651,0.7492544849522113,0.7871135887691921,0.21338580129120066,0.397236335536054,0.7706656823298247,0.3170865300342196,
22,0.9834208978673973,,0.418450860768402,0.2795031699274031,0.9440804586599078,0.13872938175395955,0.007,0.8698868157563019,0.14607853833728035,0.6025407365416873,0.2578971311764282,0.5326534558628484,0.7295719886461066,0.2995630786774329,
23,0.04714241591773083,,0.8713722562080427,0.6362635427545421,0.610383149861682,0.245616227652258,0.007,0.9115327503739057,0.006607508945268736,0.7596149985645875,0.9500216556871129,0.027702869210647352,0.35279313411312696,0.5289372278610603,
24,0.3273166006370015,,0.2456988079418696,0.9932457965340195,0.953838450977664,0.5225383390233657,0.007,0.7031251561270627,0.17675923975806507,0.6066575417573661,0.7476808415923316,0.5782316037939038,0.24499276546189463,0.7107589902084649,
25,0.5592899515287679,,0.08984380807133074,0.46432591358818764,0.2487531558612328,0.8945335310848723,0.007,0.2115450634836692,0.8292094522092623,0.5448965433664842,0.10524882099174226,0.42316092876199785,0.10447746243039113,0.3396360447392519,
26,0.5265396497218204,,0.9325816689989167,0.5510806144377786,0.13357820284930566,0.04972099821670628,0.007,0.2757695669729907,0.29913286452205934,0.7637632264145561,0.011828499510265877,0.21995075174311385,0.1706416396471664,0.23533069986755717,
27,0.39970070142793324,,0.4071069606891269,0.9724475829161825,0.7514893012760315,0.5222812549897143,0.007,0.6435618847681636,0.9413852916395472,0.4338152798823087,0.15236991739657058,0.5230503849121207,0.7338205928172059,0.904777232234635,
28,0.49441100723001075,,0.1716651371021818,0.24167443310327041,0.8276202806654142,0.2498547762586666,0.007,0.35042636019999496,0.1775528235886149,0.6136609634928833,0.0992659825105332,0.8436300054306485,0.7158920560969767,0.24811025413376064,
29,0.8388331545754814,,0.32404570073262784,0.5819837058497113,0.06848179351612227,0.7687269528584008,0.007,0.4108029773453221,0.7105132923584685,0.40224160452847624,0.017630598179033785,0.2763642344115781,0.6250513247067323,0.1796189958379767,
30,0.6320587537491239,,0.24850372968521783,0.853392967454821,0.14724850775464915,0.12103198846682095,0.007,0.591389700771959,0.5152947862229813,0.9687006563259217,0.4707508681676612,0.4365689774815502,0.16167038489087715,0.005543450471671485,
31,0.9914501720792274,,0.9480537552775874,0.19859373767908728,0.5313538949245938,0.15307779177867442,0.007,0.25631523160511493,0.5630339412892951,0.9093625108268567,0.781376760267811,0.4402363004875568,0.9955140275188129,0.08356442271971154,
32,0.30231347355140936,,0.9687360224530573,0.5632087404412254,0.8965282611725988,0.8009915437593834,0.007,0.9350299776511816,0.1481316074803739,0.2900626449902297,0.905128998544852,0.5092098358101326,0.7370349513826343,0.032208897645273904,
33,0.7740003167092477,,0.7493375426114203,0.1769380279071504,0.6933580397708671,0.28881392862915356,0.007,0.7509044867941344,0.8919466481233366,0.5199858513839334,0.8786944038269379,0.3271860424412194,0.3515479207508756,0.8149476691170522,
34,0.9124615501331913,,0.5969427351817113,0.6929633334428035,0.014465051178046417,0.19151758524615248,0.007,0.5799674178051525,0.11533580369338725,0.30929300607626153,0.509947900933591,0.8647276689338745,0.048401668780261864,0.4124493713180445,
35,0.7001233001864376,,0.4160262269999746,0.2779299088667818,0.11312849773099065,0.9026982857031137,0.007,0.8977757498148647,0.7324263359777627,0.06104171892379151,0.22195397551668394,0.5048607070872392,0.09075028552387199,0.4498876473573705,
